contrast,entropy,kategori
1286.2,14.43,anorganik
1286.2,14.43,anorganik
8.75,4.54,organik
1286.2,14.43,anorganik
236.42,12.68,anorganik
8.75,4.54,anorganik
1286.2,14.43,anorganik
184.17,8.08,anorganik
8.75,4.54,organik
1286.2,14.43,organik
173.87,12.57,organik
322.87,13.32,organik
642.95,14.1,organik
173.87,12.57,organik
173.87,12.57,organik
173.87,12.57,organik
1286.2,14.43,organik
8.75,4.54,organik
8.75,4.54,organik
1286.2,14.43,organik
322.87,13.32,organik
1286.2,14.43,organik
173.87,12.57,organik
322.87,13.32,147.61,Redup,organik
8.75,4.54,247.81,Terang,organik
285.04,13.4,158.78,Redup,organik
236.42,12.68,176.66,Redup,organik
8.75,4.54,247.81,Terang,organik
173.87,12.57,97.35,Berembun,organik
8.75,4.54,247.81,Terang,organik
98.05,10.8,125.54,Redup,organik
