h_mean,s_mean,v_mean,hist_0,hist_1,hist_2,hist_3,hist_4,hist_5,hist_6,hist_7,hist_8,hist_9,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15,hist_16,hist_17,hist_18,hist_19,hist_20,hist_21,hist_22,hist_23,path,kategori
7.16,33.7,247.81,0.31706,0.01451,0.00022,0.00018,0.00036,0.00023,0.00031,0.00046,0.24676,0.00932,0.01949,0.01803,0.0137,0.01537,0.00727,0.0034,0.0,1e-05,4e-05,0.0003,0.00124,0.00507,0.02296,0.30371,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/organik-pcd.jpg,Organik
7.16,33.7,247.81,0.31706,0.01451,0.00022,0.00018,0.00036,0.00023,0.00031,0.00046,0.24676,0.00932,0.01949,0.01803,0.0137,0.01537,0.00727,0.0034,0.0,1e-05,4e-05,0.0003,0.00124,0.00507,0.02296,0.30371,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/organik-pcd.jpg,Organik
7.16,33.7,247.81,0.31706,0.01451,0.00022,0.00018,0.00036,0.00023,0.00031,0.00046,0.24676,0.00932,0.01949,0.01803,0.0137,0.01537,0.00727,0.0034,0.0,1e-05,4e-05,0.0003,0.00124,0.00507,0.02296,0.30371,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/organik-pcd.jpg,Organik
7.16,33.7,247.81,0.31706,0.01451,0.00022,0.00018,0.00036,0.00023,0.00031,0.00046,0.24676,0.00932,0.01949,0.01803,0.0137,0.01537,0.00727,0.0034,0.0,1e-05,4e-05,0.0003,0.00124,0.00507,0.02296,0.30371,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/organik-pcd.jpg,Organik
7.16,33.7,247.81,0.31706,0.01451,0.00022,0.00018,0.00036,0.00023,0.00031,0.00046,0.24676,0.00932,0.01949,0.01803,0.0137,0.01537,0.00727,0.0034,0.0,1e-05,4e-05,0.0003,0.00124,0.00507,0.02296,0.30371,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/organik-pcd.jpg,Organik
7.16,33.7,247.81,0.31706,0.01451,0.00022,0.00018,0.00036,0.00023,0.00031,0.00046,0.24676,0.00932,0.01949,0.01803,0.0137,0.01537,0.00727,0.0034,0.0,1e-05,4e-05,0.0003,0.00124,0.00507,0.02296,0.30371,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/organik-pcd.jpg,Organik
36.25,25.22,125.54,0.03231,0.24563,0.00306,0.02403,0.02459,0.00323,0.00028,0.0002,0.28772,0.01787,0.01249,0.00774,0.00549,0.00185,9e-05,8e-05,0.03156,0.00609,0.06542,0.09682,0.04632,0.02605,0.02812,0.03296,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/dataset-sampah/kaca/cosmetics glass (1).png,Organik
36.25,25.22,125.54,0.03231,0.24563,0.00306,0.02403,0.02459,0.00323,0.00028,0.0002,0.28772,0.01787,0.01249,0.00774,0.00549,0.00185,9e-05,8e-05,0.03156,0.00609,0.06542,0.09682,0.04632,0.02605,0.02812,0.03296,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/dataset-sampah/kaca/cosmetics glass (1).png,Organik
47.65,13.95,145.69,0.17059,0.05724,0.00026,0.00234,0.01321,0.08088,0.00259,0.00622,0.28378,0.03876,0.00813,0.00219,0.00029,9e-05,4e-05,5e-05,0.00069,0.00415,0.00921,0.06258,0.19999,0.02138,0.01345,0.02188,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/dataset-sampah/kertas/kertas (1).jpg,Organik
47.65,13.95,145.69,0.17059,0.05724,0.00026,0.00234,0.01321,0.08088,0.00259,0.00622,0.28378,0.03876,0.00813,0.00219,0.00029,9e-05,4e-05,5e-05,0.00069,0.00415,0.00921,0.06258,0.19999,0.02138,0.01345,0.02188,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/dataset-sampah/kertas/kertas (1).jpg,Organik
61.31,59.0,164.01,0.07796,0.0,0.18836,0.0,0.01155,0.0461,0.0083,0.00106,0.13366,0.00201,0.18943,0.0015,0.00067,0.00065,0.0005,0.00491,0.0,0.0,0.0,0.18841,0.00286,0.01586,0.03159,0.09461,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/dataset-sampah/botol plastik/botol (27).png,Organik
61.31,59.0,164.01,0.07796,0.0,0.18836,0.0,0.01155,0.0461,0.0083,0.00106,0.13366,0.00201,0.18943,0.0015,0.00067,0.00065,0.0005,0.00491,0.0,0.0,0.0,0.18841,0.00286,0.01586,0.03159,0.09461,D:/Kuliah/semester 4/Praktikum/Pengolahan Citra Digital/TUBES UAS/Tugas-Akhir-PCD-main/dataset-sampah/botol plastik/botol (27).png,Organik
